# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s intrinsic_alignment_parameters--a1 intrinsic_alignment_parameters--alpha1 intrinsic_alignment_parameters--a2 intrinsic_alignment_parameters--alpha2 intrinsic_alignment_parameters--bias_ta
3.099999999999999978e-01 7.500000000000000000e-01 7.299999999999999822e-01 5.000000000000000278e-02 9.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.050000000000000266e-01 6.250000000000000000e-01 8.200000000000000622e-01 4.000000000000000083e-02 1.020000000000000018e+00 -2.500000000000000000e+00 2.500000000000000000e+00 -2.500000000000000000e+00 -2.500000000000000000e+00 1.500000000000000000e+00
2.149999999999999967e-01 8.750000000000000000e-01 6.400000000000000133e-01 6.000000000000000472e-02 9.200000000000000400e-01 2.500000000000000000e+00 -2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 5.000000000000000000e-01
2.625000000000000111e-01 6.875000000000000000e-01 7.750000000000000222e-01 3.500000000000000333e-02 1.044999999999999929e+00 3.750000000000000000e+00 -3.750000000000000000e+00 1.250000000000000000e+00 -3.750000000000000000e+00 1.750000000000000000e+00
4.525000000000000133e-01 9.375000000000000000e-01 5.950000000000000844e-01 5.500000000000000722e-02 9.450000000000000622e-01 -1.250000000000000000e+00 1.250000000000000000e+00 -3.750000000000000000e+00 1.250000000000000000e+00 7.500000000000000000e-01
3.574999999999999845e-01 5.625000000000000000e-01 6.850000000000000533e-01 4.499999999999999833e-02 8.950000000000000178e-01 1.250000000000000000e+00 3.750000000000000000e+00 3.750000000000000000e+00 -1.250000000000000000e+00 2.500000000000000000e-01
1.674999999999999822e-01 8.125000000000000000e-01 8.649999999999999911e-01 6.500000000000000222e-02 9.950000000000001066e-01 -3.750000000000000000e+00 -1.250000000000000000e+00 -1.250000000000000000e+00 3.750000000000000000e+00 1.250000000000000000e+00
1.912500000000000033e-01 6.562500000000000000e-01 6.625000000000000888e-01 5.750000000000000250e-02 9.825000000000000400e-01 -3.125000000000000000e+00 -4.375000000000000000e+00 4.375000000000000000e+00 -3.125000000000000000e+00 1.250000000000000000e-01
3.812499999999999778e-01 9.062500000000000000e-01 8.425000000000000266e-01 3.749999999999999861e-02 8.824999999999999512e-01 1.875000000000000000e+00 6.250000000000000000e-01 -6.250000000000000000e-01 1.875000000000000000e+00 1.125000000000000000e+00
4.762500000000000067e-01 5.312500000000000000e-01 7.525000000000000577e-01 6.750000000000000444e-02 9.324999999999999956e-01 -6.250000000000000000e-01 3.125000000000000000e+00 1.875000000000000000e+00 -6.250000000000000000e-01 1.625000000000000000e+00
2.862500000000000044e-01 7.812500000000000000e-01 5.725000000000000089e-01 4.750000000000000056e-02 1.032499999999999973e+00 4.375000000000000000e+00 -1.875000000000000000e+00 -3.125000000000000000e+00 4.375000000000000000e+00 6.250000000000000000e-01
2.387499999999999900e-01 5.937500000000000000e-01 8.874999999999999556e-01 5.250000000000000500e-02 9.575000000000000178e-01 3.125000000000000000e+00 -3.125000000000000000e+00 -1.875000000000000000e+00 -4.375000000000000000e+00 1.875000000000000000e+00
4.287500000000000200e-01 8.437500000000000000e-01 7.075000000000000178e-01 3.250000000000000111e-02 1.057500000000000107e+00 -1.875000000000000000e+00 1.875000000000000000e+00 3.125000000000000000e+00 6.250000000000000000e-01 8.750000000000000000e-01
3.337499999999999911e-01 7.187500000000000000e-01 6.175000000000000488e-01 6.250000000000000000e-02 1.007500000000000062e+00 6.250000000000000000e-01 4.375000000000000000e+00 -4.375000000000000000e+00 -1.875000000000000000e+00 3.750000000000000000e-01
1.437499999999999889e-01 9.687500000000000000e-01 7.975000000000000977e-01 4.250000000000000305e-02 9.074999999999999734e-01 -4.375000000000000000e+00 -6.250000000000000000e-01 6.250000000000000000e-01 3.125000000000000000e+00 1.375000000000000000e+00
1.556250000000000133e-01 7.343750000000000000e-01 8.537500000000000089e-01 4.624999999999999944e-02 9.262500000000000178e-01 -1.562500000000000000e+00 3.125000000000000000e-01 3.437500000000000000e+00 2.812500000000000000e+00 8.125000000000000000e-01
3.456249999999999600e-01 9.843750000000000000e-01 6.737500000000000711e-01 6.625000000000000333e-02 1.026250000000000107e+00 3.437500000000000000e+00 -4.687500000000000000e+00 -1.562500000000000000e+00 -2.187500000000000000e+00 1.812500000000000000e+00
4.406249999999999889e-01 6.093750000000000000e-01 5.837499999999999911e-01 3.624999999999999750e-02 9.762500000000000622e-01 -4.062500000000000000e+00 -2.187500000000000000e+00 9.375000000000000000e-01 3.125000000000000000e-01 1.312500000000000000e+00
2.506249999999999867e-01 8.593750000000000000e-01 7.637500000000000400e-01 5.625000000000000833e-02 8.762499999999999734e-01 9.375000000000000000e-01 2.812500000000000000e+00 -4.062500000000000000e+00 -4.687500000000000000e+00 3.125000000000000000e-01
2.981249999999999734e-01 5.468750000000000000e-01 7.187500000000000000e-01 4.125000000000000194e-02 1.001249999999999973e+00 2.187500000000000000e+00 1.562500000000000000e+00 -3.125000000000000000e-01 4.062500000000000000e+00 1.062500000000000000e+00
4.881249999999999756e-01 7.968750000000000000e-01 8.987500000000000488e-01 6.125000000000000583e-02 9.012499999999999956e-01 -2.812500000000000000e+00 -3.437500000000000000e+00 4.687500000000000000e+00 -9.375000000000000000e-01 6.250000000000000000e-02
3.931250000000000022e-01 6.718750000000000000e-01 8.087500000000000799e-01 3.125000000000000000e-02 9.512500000000000400e-01 4.687500000000000000e+00 -9.375000000000000000e-01 -2.812500000000000000e+00 1.562500000000000000e+00 5.625000000000000000e-01
2.031250000000000000e-01 9.218750000000000000e-01 6.287500000000000311e-01 5.125000000000000389e-02 1.051250000000000018e+00 -3.125000000000000000e-01 4.062500000000000000e+00 2.187500000000000000e+00 -3.437500000000000000e+00 1.562500000000000000e+00
1.793750000000000067e-01 5.781250000000000000e-01 7.412500000000000755e-01 6.375000000000000111e-02 1.038750000000000062e+00 -9.375000000000000000e-01 9.375000000000000000e-01 -3.437500000000000000e+00 4.687500000000000000e+00 9.375000000000000000e-01
3.693750000000000089e-01 8.281250000000000000e-01 5.612500000000000266e-01 4.374999999999999722e-02 9.387499999999999734e-01 4.062500000000000000e+00 -4.062500000000000000e+00 1.562500000000000000e+00 -3.125000000000000000e-01 1.937500000000000000e+00
4.643749999999999822e-01 7.031250000000000000e-01 6.512499999999999956e-01 5.375000000000000611e-02 8.887500000000000400e-01 -3.437500000000000000e+00 -1.562500000000000000e+00 -9.375000000000000000e-01 2.187500000000000000e+00 1.437500000000000000e+00
2.743750000000000355e-01 9.531250000000000000e-01 8.312500000000000444e-01 3.375000000000000222e-02 9.887500000000000178e-01 1.562500000000000000e+00 3.437500000000000000e+00 4.062500000000000000e+00 -2.812500000000000000e+00 4.375000000000000000e-01
2.268749999999999933e-01 6.406250000000000000e-01 6.062500000000000666e-01 6.875000000000000555e-02 9.137500000000000622e-01 3.125000000000000000e-01 2.187500000000000000e+00 3.125000000000000000e-01 3.437500000000000000e+00 1.187500000000000000e+00
4.168749999999999956e-01 8.906250000000000000e-01 7.862500000000000044e-01 4.875000000000000167e-02 1.013749999999999929e+00 -4.687500000000000000e+00 -2.812500000000000000e+00 -4.687500000000000000e+00 -1.562500000000000000e+00 1.875000000000000000e-01
3.218750000000000222e-01 5.156250000000000000e-01 8.762499999999999734e-01 5.875000000000000361e-02 1.063749999999999973e+00 2.812500000000000000e+00 -3.125000000000000000e-01 2.812500000000000000e+00 9.375000000000000000e-01 6.875000000000000000e-01
1.318749999999999922e-01 7.656250000000000000e-01 6.962500000000000355e-01 3.874999999999999972e-02 9.637499999999999956e-01 -2.187500000000000000e+00 4.687500000000000000e+00 -2.187500000000000000e+00 -4.062500000000000000e+00 1.687500000000000000e+00
1.378125000000000044e-01 6.328125000000000000e-01 7.693750000000000311e-01 5.312500000000000555e-02 1.010625000000000107e+00 1.406250000000000000e+00 -2.343750000000000000e+00 1.718750000000000000e+00 7.812500000000000000e-01 9.375000000000000000e-02
3.278125000000000067e-01 8.828125000000000000e-01 5.893750000000000933e-01 3.312500000000000167e-02 9.106250000000000178e-01 -3.593750000000000000e+00 2.656250000000000000e+00 -3.281250000000000000e+00 -4.218750000000000000e+00 1.093750000000000000e+00
4.228124999999999800e-01 5.078125000000000000e-01 6.793750000000000622e-01 6.312500000000001443e-02 9.606250000000000622e-01 3.906250000000000000e+00 1.562500000000000000e-01 4.218750000000000000e+00 3.281250000000000000e+00 1.593750000000000000e+00
2.328124999999999778e-01 7.578125000000000000e-01 8.593750000000000000e-01 4.312500000000000361e-02 1.060625000000000151e+00 -1.093750000000000000e+00 -4.843750000000000000e+00 -7.812500000000000000e-01 -1.718750000000000000e+00 5.937500000000000000e-01
2.803124999999999645e-01 5.703125000000000000e-01 6.343750000000000222e-01 5.812500000000000305e-02 9.356250000000000400e-01 -2.343750000000000000e+00 -1.093750000000000000e+00 -4.531250000000000000e+00 2.031250000000000000e+00 1.843750000000000000e+00
4.703125000000000222e-01 8.203125000000000000e-01 8.143750000000000711e-01 3.812499999999999917e-02 1.035625000000000018e+00 2.656250000000000000e+00 3.906250000000000000e+00 4.687500000000000000e-01 -2.968750000000000000e+00 8.437500000000000000e-01
3.753124999999999933e-01 6.953125000000000000e-01 9.043750000000000400e-01 6.812500000000000500e-02 9.856249999999999734e-01 -4.843750000000000000e+00 1.406250000000000000e+00 -2.031250000000000000e+00 4.531250000000000000e+00 3.437500000000000000e-01
1.853124999999999911e-01 9.453125000000000000e-01 7.243749999999999911e-01 4.812500000000000111e-02 8.856249999999999956e-01 1.562500000000000000e-01 -3.593750000000000000e+00 2.968750000000000000e+00 -4.687500000000000000e-01 1.343750000000000000e+00
2.090624999999999845e-01 5.390625000000000000e-01 8.368750000000000355e-01 3.562500000000000389e-02 8.981250000000000622e-01 7.812500000000000000e-01 -1.718750000000000000e+00 -1.406250000000000000e+00 1.406250000000000000e+00 2.187500000000000000e-01
