# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s cosmological_parameters--w intrinsic_alignment_parameters--a1 intrinsic_alignment_parameters--alpha1 intrinsic_alignment_parameters--a2 intrinsic_alignment_parameters--alpha2 intrinsic_alignment_parameters--bias_ta
4.558398437499999734e-01 7.709960937500000000e-01 5.756640625000000178e-01 3.988281250000000333e-02 9.010546875000000622e-01 -1.149103515625000016e+00 9.082031250000000000e-01 -8.496093750000000000e-01 4.775390625000000000e+00 -4.785156250000000000e-01 2.910156250000000000e-01
3.608398437500000000e-01 6.459960937500000000e-01 6.656640625000000977e-01 6.988281250000000222e-02 9.510546874999999956e-01 -1.565603515624999886e+00 3.408203125000000000e+00 1.650390625000000000e+00 -2.724609375000000000e+00 -2.978515625000000000e+00 1.791015625000000000e+00
1.708398437499999978e-01 8.959960937500000000e-01 8.456640625000000355e-01 4.988281249999999833e-02 1.051054687499999973e+00 -7.326035156250001457e-01 -1.591796875000000000e+00 -3.349609375000000000e+00 2.275390625000000000e+00 2.021484375000000000e+00 7.910156250000000000e-01
1.945898437499999911e-01 6.147460937500000000e-01 6.881640625000000622e-01 3.738281250000000111e-02 1.038554687500000018e+00 -6.284785156250001226e-01 -3.466796875000000000e+00 2.275390625000000000e+00 -8.496093750000000000e-01 -4.853515625000000000e+00 9.160156250000000000e-01
3.845898437499999933e-01 8.647460937500000000e-01 8.681640625000000000e-01 5.738281250000000500e-02 9.385546875000000400e-01 -1.461478515625000085e+00 1.533203125000000000e+00 -2.724609375000000000e+00 4.150390625000000000e+00 1.464843750000000000e-01 1.916015625000000000e+00
4.795898437500000222e-01 7.397460937500000000e-01 7.781640625000000311e-01 4.738281250000000305e-02 8.885546874999999956e-01 -1.044978515624999993e+00 4.033203125000000000e+00 4.775390625000000000e+00 -3.349609375000000000e+00 2.646484375000000000e+00 4.160156250000000000e-01
2.895898437499999645e-01 9.897460937500000000e-01 5.981640625000000933e-01 6.738281250000000000e-02 9.885546874999999734e-01 -1.877978515624999956e+00 -9.667968750000000000e-01 -2.246093750000000000e-01 1.650390625000000000e+00 -2.353515625000000000e+00 1.416015625000000000e+00
2.420898437499999778e-01 6.772460937500000000e-01 8.231640625000000711e-01 3.238281249999999667e-02 9.135546875000000178e-01 -1.669728515625000131e+00 -4.716796875000000000e+00 -3.974609375000000000e+00 -2.099609375000000000e+00 3.896484375000000000e+00 1.660156250000000000e-01
4.320898437499999800e-01 9.272460937500000000e-01 6.431640625000000222e-01 5.238281250000000056e-02 1.013554687500000107e+00 -8.367285156249999467e-01 2.832031250000000000e-01 1.025390625000000000e+00 2.900390625000000000e+00 -1.103515625000000000e+00 1.166015625000000000e+00
3.370898437500000067e-01 5.522460937500000000e-01 5.531640625000000533e-01 4.238281250000000555e-02 1.063554687500000151e+00 -1.253228515625000039e+00 2.783203125000000000e+00 -1.474609375000000000e+00 -4.599609375000000000e+00 -3.603515625000000000e+00 6.660156250000000000e-01
1.470898437500000044e-01 8.022460937500000000e-01 7.331640624999999911e-01 6.238281250000000250e-02 9.635546875000000622e-01 -4.202285156250000764e-01 -2.216796875000000000e+00 3.525390625000000000e+00 4.003906250000000000e-01 1.396484375000000000e+00 1.666015625000000000e+00
1.589648437500000011e-01 5.366210937500000000e-01 8.794140624999999822e-01 6.863281250000000111e-02 8.823046875000000178e-01 -7.846660156250000462e-01 2.470703125000000000e+00 7.128906250000000000e-01 7.128906250000000000e-01 -1.660156250000000000e-01 1.353515625000000000e+00
3.489648437500000311e-01 7.866210937500000000e-01 6.994140625000000444e-01 4.863281250000000416e-02 9.823046874999999956e-01 -1.617666015625000009e+00 -2.529296875000000000e+00 -4.287109375000000000e+00 -4.287109375000000000e+00 4.833984375000000000e+00 3.535156250000000000e-01
4.439648437500000044e-01 6.616210937500000000e-01 6.094140625000000755e-01 5.863281250000000611e-02 1.032304687499999929e+00 -3.681660156250001759e-01 -2.929687500000000000e-02 3.212890625000000000e+00 3.212890625000000000e+00 2.333984375000000000e+00 1.853515625000000000e+00
2.539648437500000022e-01 9.116210937500000000e-01 7.894140625000000133e-01 3.863281250000000222e-02 9.323046875000000622e-01 -1.201166015625000139e+00 4.970703125000000000e+00 -1.787109375000000000e+00 -1.787109375000000000e+00 -2.666015625000000000e+00 8.535156250000000000e-01
3.014648437499999889e-01 7.241210937500000000e-01 6.544140625000000044e-01 6.363281249999999667e-02 1.057304687500000062e+00 -1.409416015625000185e+00 1.220703125000000000e+00 -3.037109375000000000e+00 1.962890625000000000e+00 1.083984375000000000e+00 1.603515625000000000e+00
4.914648437499999911e-01 9.741210937500000000e-01 8.344140625000000533e-01 4.363281249999999972e-02 9.573046874999999734e-01 -5.764160156250000000e-01 -3.779296875000000000e+00 1.962890625000000000e+00 -3.037109375000000000e+00 -3.916015625000000000e+00 6.035156250000000000e-01
3.964648437500000178e-01 5.991210937500000000e-01 7.444140624999999734e-01 5.363281250000000167e-02 9.073046875000000400e-01 -1.825916015625000055e+00 -1.279296875000000000e+00 -5.371093750000000000e-01 4.462890625000000000e+00 -1.416015625000000000e+00 1.103515625000000000e+00
2.064648437500000155e-01 8.491210937500000000e-01 5.644140625000000355e-01 3.363281249999999778e-02 1.007304687500000018e+00 -9.929160156250000924e-01 3.720703125000000000e+00 4.462890625000000000e+00 -5.371093750000000000e-01 3.583984375000000000e+00 1.035156250000000000e-01
1.827148437499999944e-01 6.303710937500000000e-01 8.119140625000000888e-01 4.113281250000000444e-02 9.948046875000000622e-01 -1.097041015624999893e+00 1.845703125000000000e+00 -1.162109375000000000e+00 1.337890625000000000e+00 -7.910156250000000000e-01 2.285156250000000000e-01
3.727148437500000244e-01 8.803710937500000000e-01 6.319140625000000400e-01 6.113281250000000833e-02 8.948046874999999734e-01 -1.930041015625000078e+00 -3.154296875000000000e+00 3.837890625000000000e+00 -3.662109375000000000e+00 4.208984375000000000e+00 1.228515625000000000e+00
4.677148437499999978e-01 5.053710937500000000e-01 7.219140625000000089e-01 3.113281249999999903e-02 9.448046875000000178e-01 -6.805410156250000231e-01 -6.542968750000000000e-01 -3.662109375000000000e+00 3.837890625000000000e+00 1.708984375000000000e+00 7.285156250000000000e-01
2.777148437499999956e-01 7.553710937500000000e-01 9.019140625000000577e-01 5.113281249999999944e-02 1.044804687500000107e+00 -1.513541015624999986e+00 4.345703125000000000e+00 1.337890625000000000e+00 -1.162109375000000000e+00 -3.291015625000000000e+00 1.728515625000000000e+00
2.302148437500000089e-01 5.678710937500000000e-01 5.869140625000000000e-01 4.613281250000000194e-02 9.698046875000000400e-01 -1.305291015624999940e+00 5.957031250000000000e-01 2.587890625000000000e+00 8.789062500000000000e-02 4.589843750000000000e-01 9.785156250000000000e-01
4.202148437500000111e-01 8.178710937500000000e-01 7.669140625000000488e-01 6.613281249999999889e-02 1.069804687500000018e+00 -4.722910156249999769e-01 -4.404296875000000000e+00 -2.412109375000000000e+00 -4.912109375000000000e+00 -4.541015625000000000e+00 1.978515625000000000e+00
3.252148437499999822e-01 6.928710937500000000e-01 8.569140625000000178e-01 3.613281250000000000e-02 1.019804687499999973e+00 -1.721791015625000032e+00 -1.904296875000000000e+00 8.789062500000000000e-02 2.587890625000000000e+00 -2.041015625000000000e+00 4.785156250000000000e-01
1.352148437500000078e-01 9.428710937500000000e-01 6.769140625000000799e-01 5.613281250000000389e-02 9.198046874999999956e-01 -8.887910156250000693e-01 3.095703125000000000e+00 -4.912109375000000000e+00 -2.412109375000000000e+00 2.958984375000000000e+00 1.478515625000000000e+00
1.411523437499999922e-01 5.913085937500000000e-01 7.950390625000000044e-01 3.175781249999999611e-02 1.060429687500000107e+00 -1.539572265624999936e+00 -4.980468750000000000e-01 3.994140625000000000e+00 3.056640625000000000e+00 -3.759765625000000000e+00 1.884765625000000000e+00
3.311523437500000222e-01 8.413085937500000000e-01 6.150390625000000666e-01 5.175781250000000000e-02 9.604296875000000178e-01 -7.065722656249999734e-01 4.501953125000000000e+00 -1.005859375000000000e+00 -1.943359375000000000e+00 1.240234375000000000e+00 8.847656250000000000e-01
4.261523437499999956e-01 7.163085937500000000e-01 7.050390625000000355e-01 4.175781250000000500e-02 9.104296874999999734e-01 -1.956072265625000028e+00 2.001953125000000000e+00 1.494140625000000000e+00 5.566406250000000000e-01 3.740234375000000000e+00 1.384765625000000000e+00
2.361523437499999933e-01 9.663085937500000000e-01 8.850390624999999734e-01 6.175781250000000194e-02 1.010429687500000062e+00 -1.123072265625000066e+00 -2.998046875000000000e+00 -3.505859375000000000e+00 -4.443359375000000000e+00 -1.259765625000000000e+00 3.847656250000000000e-01
2.836523437500000355e-01 6.538085937500000000e-01 5.700390625000000266e-01 3.675781250000000056e-02 8.854296874999999512e-01 -9.148222656250000195e-01 -1.748046875000000000e+00 -2.255859375000000000e+00 4.306640625000000000e+00 4.990234375000000000e+00 1.134765625000000000e+00
4.736523437499999822e-01 9.038085937500000000e-01 7.500390625000000755e-01 5.675781250000000444e-02 9.854296875000000400e-01 -1.747822265624999982e+00 3.251953125000000000e+00 2.744140625000000000e+00 -6.933593750000000000e-01 -9.765625000000000000e-03 1.347656250000000000e-01
3.786523437500000089e-01 5.288085937500000000e-01 8.400390625000000444e-01 4.675781250000000250e-02 1.035429687499999973e+00 -4.983222656250001492e-01 7.519531250000000000e-01 -4.755859375000000000e+00 1.806640625000000000e+00 -2.509765625000000000e+00 1.634765625000000000e+00
1.886523437500000067e-01 7.788085937500000000e-01 6.600390624999999956e-01 6.675781250000001332e-02 9.354296874999999956e-01 -1.331322265624999890e+00 -4.248046875000000000e+00 2.441406250000000000e-01 -3.193359375000000000e+00 2.490234375000000000e+00 6.347656250000000000e-01
2.124023437500000000e-01 7.475585937500000000e-01 9.075390625000000488e-01 5.925781250000000666e-02 9.479296875000000622e-01 -1.227197265625000089e+00 -1.123046875000000000e+00 -4.130859375000000000e+00 4.931640625000000000e+00 -4.384765625000000000e+00 5.097656250000000000e-01
4.024023437500000022e-01 9.975585937500000000e-01 7.275390625000000000e-01 3.925781250000000278e-02 1.047929687500000151e+00 -3.941972656250001261e-01 3.876953125000000000e+00 8.691406250000000000e-01 -6.835937500000000000e-02 6.152343750000000000e-01 1.509765625000000000e+00
4.974023437499999756e-01 6.225585937500000000e-01 6.375390625000000311e-01 6.925781250000001554e-02 9.979296875000001066e-01 -1.643697265624999959e+00 1.376953125000000000e+00 -1.630859375000000000e+00 2.431640625000000000e+00 3.115234375000000000e+00 9.765625000000000000e-03
3.074023437499999734e-01 8.725585937500000000e-01 8.175390625000000799e-01 4.925781249999999778e-02 8.979296875000000178e-01 -8.106972656249999964e-01 -3.623046875000000000e+00 3.369140625000000000e+00 -2.568359375000000000e+00 -1.884765625000000000e+00 1.009765625000000000e+00
2.599023437499999867e-01 5.600585937500000000e-01 6.825390625000000711e-01 5.425781250000000222e-02 9.729296874999999734e-01 -1.018947265625000043e+00 -2.373046875000000000e+00 2.119140625000000000e+00 3.681640625000000000e+00 4.365234375000000000e+00 2.597656250000000000e-01
4.499023437499999889e-01 8.100585937500000000e-01 8.625390625000000089e-01 3.425781249999999833e-02 8.729296874999999956e-01 -1.851947265625000005e+00 2.626953125000000000e+00 -2.880859375000000000e+00 -1.318359375000000000e+00 -6.347656250000000000e-01 1.259765625000000000e+00
3.549023437499999600e-01 6.850585937500000000e-01 7.725390625000000400e-01 6.425781250000001110e-02 9.229296875000000400e-01 -6.024472656250001723e-01 1.269531250000000000e-01 4.619140625000000000e+00 1.181640625000000000e+00 -3.134765625000000000e+00 7.597656250000000000e-01
1.649023437500000133e-01 9.350585937500000000e-01 5.925390624999999911e-01 4.425781250000000028e-02 1.022929687500000018e+00 -1.435447265625000135e+00 -4.873046875000000000e+00 -3.808593750000000000e-01 -3.818359375000000000e+00 1.865234375000000000e+00 1.759765625000000000e+00
1.530273437499999889e-01 6.694335937500000000e-01 7.162890625000000178e-01 4.550781250000000139e-02 1.016679687499999929e+00 -1.799884765625000105e+00 4.814453125000000000e+00 -2.568359375000000000e+00 -4.755859375000000000e+00 -3.222656250000000000e-01 1.197265625000000000e+00
3.430273437499999911e-01 9.194335937500000000e-01 8.962890624999999556e-01 6.550781250000001221e-02 9.166796875000000622e-01 -9.668847656250001421e-01 -1.855468750000000000e-01 2.431640625000000000e+00 2.441406250000000000e-01 4.677734375000000000e+00 1.972656250000000000e-01
4.380273437500000200e-01 5.444335937500000000e-01 8.062890625000000977e-01 3.550781249999999944e-02 9.666796874999999956e-01 -1.383384765625000012e+00 -2.685546875000000000e+00 -6.835937500000000000e-02 -2.255859375000000000e+00 2.177734375000000000e+00 1.697265625000000000e+00
2.480273437499999900e-01 7.944335937500000000e-01 6.262890625000000488e-01 5.550781250000000333e-02 1.066679687499999973e+00 -5.503847656250000497e-01 2.314453125000000000e+00 4.931640625000000000e+00 2.744140625000000000e+00 -2.822265625000000000e+00 6.972656250000000000e-01
2.955273437500000044e-01 6.069335937500000000e-01 8.512890625000000266e-01 4.050781250000000389e-02 9.416796874999999734e-01 -3.421347656250000036e-01 3.564453125000000000e+00 1.181640625000000000e+00 -3.505859375000000000e+00 9.277343750000000000e-01 1.947265625000000000e+00
4.855273437500000067e-01 8.569335937500000000e-01 6.712890625000000888e-01 6.050781250000000777e-02 1.041679687500000062e+00 -1.175134765625000188e+00 -1.435546875000000000e+00 -3.818359375000000000e+00 1.494140625000000000e+00 -4.072265625000000000e+00 9.472656250000000000e-01
3.905273437499999778e-01 7.319335937500000000e-01 5.812890625000000089e-01 3.050781249999999847e-02 9.916796875000000178e-01 -7.586347656250000959e-01 -3.935546875000000000e+00 3.681640625000000000e+00 -1.005859375000000000e+00 -1.572265625000000000e+00 1.447265625000000000e+00
2.005273437500000033e-01 9.819335937500000000e-01 7.612890625000000577e-01 5.050781249999999889e-02 8.916796875000000400e-01 -1.591634765625000059e+00 1.064453125000000000e+00 -1.318359375000000000e+00 3.994140625000000000e+00 3.427734375000000000e+00 4.472656250000000000e-01
1.767773437499999822e-01 5.131835937500000000e-01 6.037890625000000844e-01 6.300781250000000999e-02 9.041796874999999956e-01 -1.695759765625000082e+00 4.189453125000000000e+00 3.056640625000000000e+00 -2.880859375000000000e+00 -9.472656250000000000e-01 3.222656250000000000e-01
3.667773437500000400e-01 7.631835937500000000e-01 7.837890625000000222e-01 4.300781249999999917e-02 1.004179687499999973e+00 -8.627597656250001190e-01 -8.105468750000000000e-01 -1.943359375000000000e+00 2.119140625000000000e+00 4.052734375000000000e+00 1.322265625000000000e+00
4.617773437500000133e-01 6.381835937500000000e-01 8.737890624999999911e-01 5.300781250000000111e-02 1.054179687500000018e+00 -1.279259765624999989e+00 -3.310546875000000000e+00 5.566406250000000000e-01 -3.808593750000000000e-01 1.552734375000000000e+00 8.222656250000000000e-01
2.717773437500000111e-01 8.881835937500000000e-01 6.937890625000000533e-01 3.300781249999999722e-02 9.541796875000000400e-01 -4.462597656250000266e-01 1.689453125000000000e+00 -4.443359375000000000e+00 4.619140625000000000e+00 -3.447265625000000000e+00 1.822265625000000000e+00
2.242773437499999967e-01 7.006835937500000000e-01 7.387890624999999822e-01 6.800781250000001443e-02 1.029179687500000107e+00 -6.545097656250000728e-01 2.939453125000000000e+00 -6.933593750000000000e-01 -4.130859375000000000e+00 3.027343750000000000e-01 5.722656250000000000e-01
