# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s cosmological_parameters--w intrinsic_alignment_parameters--a1 intrinsic_alignment_parameters--alpha1 intrinsic_alignment_parameters--a2 intrinsic_alignment_parameters--alpha2 intrinsic_alignment_parameters--bias_ta
3.099999999999999978e-01 7.500000000000000000e-01 7.299999999999999822e-01 5.000000000000000278e-02 9.699999999999999734e-01 -1.167000000000000037e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.050000000000000266e-01 6.250000000000000000e-01 8.200000000000000622e-01 4.000000000000000083e-02 1.020000000000000018e+00 -1.583499999999999908e+00 2.500000000000000000e+00 -2.500000000000000000e+00 -2.500000000000000000e+00 2.500000000000000000e+00 5.000000000000000000e-01
2.149999999999999967e-01 8.750000000000000000e-01 6.400000000000000133e-01 6.000000000000000472e-02 9.200000000000000400e-01 -7.505000000000001670e-01 -2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 -2.500000000000000000e+00 1.500000000000000000e+00
2.625000000000000111e-01 6.875000000000000000e-01 7.750000000000000222e-01 3.500000000000000333e-02 1.044999999999999929e+00 -5.422500000000001208e-01 -3.750000000000000000e+00 1.250000000000000000e+00 -3.750000000000000000e+00 3.750000000000000000e+00 7.500000000000000000e-01
4.525000000000000133e-01 9.375000000000000000e-01 5.950000000000000844e-01 5.500000000000000722e-02 9.450000000000000622e-01 -1.375250000000000083e+00 1.250000000000000000e+00 -3.750000000000000000e+00 1.250000000000000000e+00 -1.250000000000000000e+00 1.750000000000000000e+00
3.574999999999999845e-01 5.625000000000000000e-01 6.850000000000000533e-01 4.499999999999999833e-02 8.950000000000000178e-01 -9.587499999999999911e-01 3.750000000000000000e+00 3.750000000000000000e+00 -1.250000000000000000e+00 -3.750000000000000000e+00 2.500000000000000000e-01
1.674999999999999822e-01 8.125000000000000000e-01 8.649999999999999911e-01 6.500000000000000222e-02 9.950000000000001066e-01 -1.791749999999999954e+00 -1.250000000000000000e+00 -1.250000000000000000e+00 3.750000000000000000e+00 1.250000000000000000e+00 1.250000000000000000e+00
1.912500000000000033e-01 6.562500000000000000e-01 6.625000000000000888e-01 5.750000000000000250e-02 9.825000000000000400e-01 -1.687625000000000153e+00 -4.375000000000000000e+00 4.375000000000000000e+00 -3.125000000000000000e+00 -4.375000000000000000e+00 1.375000000000000000e+00
3.812499999999999778e-01 9.062500000000000000e-01 8.425000000000000266e-01 3.749999999999999861e-02 8.824999999999999512e-01 -8.546249999999999680e-01 6.250000000000000000e-01 -6.250000000000000000e-01 1.875000000000000000e+00 6.250000000000000000e-01 3.750000000000000000e-01
4.762500000000000067e-01 5.312500000000000000e-01 7.525000000000000577e-01 6.750000000000000444e-02 9.324999999999999956e-01 -1.271125000000000060e+00 3.125000000000000000e+00 1.875000000000000000e+00 -6.250000000000000000e-01 3.125000000000000000e+00 1.875000000000000000e+00
2.862500000000000044e-01 7.812500000000000000e-01 5.725000000000000089e-01 4.750000000000000056e-02 1.032499999999999973e+00 -4.381250000000000977e-01 -1.875000000000000000e+00 -3.125000000000000000e+00 4.375000000000000000e+00 -1.875000000000000000e+00 8.750000000000000000e-01
2.387499999999999900e-01 5.937500000000000000e-01 8.874999999999999556e-01 5.250000000000000500e-02 9.575000000000000178e-01 -6.463750000000001439e-01 -3.125000000000000000e+00 -1.875000000000000000e+00 -4.375000000000000000e+00 4.375000000000000000e+00 1.625000000000000000e+00
4.287500000000000200e-01 8.437500000000000000e-01 7.075000000000000178e-01 3.250000000000000111e-02 1.057500000000000107e+00 -1.479375000000000107e+00 1.875000000000000000e+00 3.125000000000000000e+00 6.250000000000000000e-01 -6.250000000000000000e-01 6.250000000000000000e-01
3.337499999999999911e-01 7.187500000000000000e-01 6.175000000000000488e-01 6.250000000000000000e-02 1.007500000000000062e+00 -1.062875000000000014e+00 4.375000000000000000e+00 -4.375000000000000000e+00 -1.875000000000000000e+00 -3.125000000000000000e+00 1.125000000000000000e+00
1.437499999999999889e-01 9.687500000000000000e-01 7.975000000000000977e-01 4.250000000000000305e-02 9.074999999999999734e-01 -1.895874999999999977e+00 -6.250000000000000000e-01 6.250000000000000000e-01 3.125000000000000000e+00 1.875000000000000000e+00 1.250000000000000000e-01
1.556250000000000133e-01 7.343750000000000000e-01 8.537500000000000089e-01 4.624999999999999944e-02 9.262500000000000178e-01 -1.427312499999999984e+00 3.125000000000000000e-01 3.437500000000000000e+00 2.812500000000000000e+00 -9.375000000000000000e-01 8.125000000000000000e-01
