# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--omega_b
3.099999999999999978e-01 7.500000000000000000e-01 5.000000000000000278e-02
4.050000000000000266e-01 6.250000000000000000e-01 6.000000000000000472e-02
2.149999999999999967e-01 8.750000000000000000e-01 4.000000000000000083e-02
2.625000000000000111e-01 6.875000000000000000e-01 5.500000000000000722e-02
4.525000000000000133e-01 9.375000000000000000e-01 3.500000000000000333e-02
3.574999999999999845e-01 5.625000000000000000e-01 4.499999999999999833e-02
1.674999999999999822e-01 8.125000000000000000e-01 6.500000000000000222e-02
1.912500000000000033e-01 6.562500000000000000e-01 4.250000000000000305e-02
3.812499999999999778e-01 9.062500000000000000e-01 6.250000000000000000e-02
4.762500000000000067e-01 5.312500000000000000e-01 5.250000000000000500e-02
2.862500000000000044e-01 7.812500000000000000e-01 3.250000000000000111e-02
2.387499999999999900e-01 5.937500000000000000e-01 6.750000000000000444e-02
4.287500000000000200e-01 8.437500000000000000e-01 4.750000000000000056e-02
3.337499999999999911e-01 7.187500000000000000e-01 3.749999999999999861e-02
1.437499999999999889e-01 9.687500000000000000e-01 5.750000000000000250e-02
1.556250000000000133e-01 7.343750000000000000e-01 6.375000000000000111e-02
3.456249999999999600e-01 9.843750000000000000e-01 4.374999999999999722e-02
4.406249999999999889e-01 6.093750000000000000e-01 3.375000000000000222e-02
2.506249999999999867e-01 8.593750000000000000e-01 5.375000000000000611e-02
2.981249999999999734e-01 5.468750000000000000e-01 4.875000000000000167e-02
4.881249999999999756e-01 7.968750000000000000e-01 6.875000000000000555e-02
3.931250000000000022e-01 6.718750000000000000e-01 5.875000000000000361e-02
2.031250000000000000e-01 9.218750000000000000e-01 3.874999999999999972e-02
1.793750000000000067e-01 5.781250000000000000e-01 5.125000000000000389e-02
3.693750000000000089e-01 8.281250000000000000e-01 3.125000000000000000e-02
4.643749999999999822e-01 7.031250000000000000e-01 4.125000000000000194e-02
2.743750000000000355e-01 9.531250000000000000e-01 6.125000000000000583e-02
2.268749999999999933e-01 6.406250000000000000e-01 3.624999999999999750e-02
4.168749999999999956e-01 8.906250000000000000e-01 5.625000000000000833e-02
3.218750000000000222e-01 5.156250000000000000e-01 6.625000000000000333e-02
1.318749999999999922e-01 7.656250000000000000e-01 4.624999999999999944e-02
1.378125000000000044e-01 6.328125000000000000e-01 5.437500000000000666e-02
3.278125000000000067e-01 8.828125000000000000e-01 3.437500000000000278e-02
4.228124999999999800e-01 5.078125000000000000e-01 4.437499999999999778e-02
2.328124999999999778e-01 7.578125000000000000e-01 6.437500000000001554e-02
2.803124999999999645e-01 5.703125000000000000e-01 3.937500000000000028e-02
4.703125000000000222e-01 8.203125000000000000e-01 5.937500000000000416e-02
3.753124999999999933e-01 6.953125000000000000e-01 6.937500000000000611e-02
1.853124999999999911e-01 9.453125000000000000e-01 4.937500000000000222e-02
2.090624999999999845e-01 5.390625000000000000e-01 6.187500000000000638e-02
3.990624999999999867e-01 7.890625000000000000e-01 4.187500000000000250e-02
4.940625000000000155e-01 6.640625000000000000e-01 3.187500000000000056e-02
3.040625000000000133e-01 9.140625000000000000e-01 5.187500000000000444e-02
2.565625000000000266e-01 7.265625000000000000e-01 4.687500000000000000e-02
4.465624999999999734e-01 9.765625000000000000e-01 6.687500000000000389e-02
3.515625000000000000e-01 6.015625000000000000e-01 5.687500000000000888e-02
1.615624999999999978e-01 8.515625000000000000e-01 3.687499999999999806e-02
1.496875000000000011e-01 6.171875000000000000e-01 4.062500000000000139e-02
3.396875000000000311e-01 8.671875000000000000e-01 6.062500000000000527e-02
4.346875000000000044e-01 7.421875000000000000e-01 5.062500000000000333e-02
2.446875000000000022e-01 9.921875000000000000e-01 3.062499999999999944e-02
2.921874999999999889e-01 6.796875000000000000e-01 6.562500000000000278e-02
4.821874999999999911e-01 9.296875000000000000e-01 4.562499999999999889e-02
3.871875000000000178e-01 5.546875000000000000e-01 3.562500000000000389e-02
1.971875000000000155e-01 8.046875000000000000e-01 5.562500000000000777e-02
1.734374999999999944e-01 7.109375000000000000e-01 3.312500000000000167e-02
3.634374999999999689e-01 9.609375000000000000e-01 5.312500000000000555e-02
4.584374999999999978e-01 5.859375000000000000e-01 6.312500000000001443e-02
2.684374999999999956e-01 8.359375000000000000e-01 4.312500000000000361e-02
2.209375000000000089e-01 5.234375000000000000e-01 5.812500000000000305e-02
4.109375000000000111e-01 7.734375000000000000e-01 3.812499999999999917e-02
3.159374999999999822e-01 6.484375000000000000e-01 4.812500000000000111e-02
1.259375000000000078e-01 8.984375000000000000e-01 6.812500000000000500e-02
1.289062500000000000e-01 6.992187500000000000e-01 4.781250000000000083e-02
3.189062500000000022e-01 9.492187500000000000e-01 6.781249999999999778e-02
4.139062499999999756e-01 5.742187500000000000e-01 5.781250000000000278e-02
2.239062500000000011e-01 8.242187500000000000e-01 3.781249999999999889e-02
2.714062499999999600e-01 5.117187500000000000e-01 6.281250000000000722e-02
4.614062500000000178e-01 7.617187500000000000e-01 4.281250000000000333e-02
3.664062499999999889e-01 6.367187500000000000e-01 3.281250000000000139e-02
1.764062499999999867e-01 8.867187500000000000e-01 5.281249999999999833e-02
2.001562499999999800e-01 6.054687500000000000e-01 3.531249999999999667e-02
3.901562499999999822e-01 8.554687500000000000e-01 5.531250000000000056e-02
4.851562500000000111e-01 7.304687500000000000e-01 6.531249999999999556e-02
2.951562500000000089e-01 9.804687500000000000e-01 4.531250000000000555e-02
2.476562499999999944e-01 6.679687500000000000e-01 5.031250000000000305e-02
4.376562500000000244e-01 9.179687500000000000e-01 3.031249999999999917e-02
3.426562499999999956e-01 5.429687500000000000e-01 4.031250000000000111e-02
1.526562499999999933e-01 7.929687500000000000e-01 6.031250000000000500e-02
1.645312499999999900e-01 5.585937500000000000e-01 5.656250000000000167e-02
3.545312499999999645e-01 8.085937500000000000e-01 3.656249999999999778e-02
4.495312499999999933e-01 6.835937500000000000e-01 4.656250000000000666e-02
2.595312499999999911e-01 9.335937500000000000e-01 6.656249999999999667e-02
3.070312499999999778e-01 7.460937500000000000e-01 3.156250000000000028e-02
4.970312499999999800e-01 9.960937500000000000e-01 5.156250000000000416e-02
4.020312500000000067e-01 6.210937500000000000e-01 6.156250000000000611e-02
2.120312500000000044e-01 8.710937500000000000e-01 4.156250000000000222e-02
1.882812500000000111e-01 6.523437500000000000e-01 6.906249999999999889e-02
3.782812500000000133e-01 9.023437500000000000e-01 4.906250000000000194e-02
4.732812499999999867e-01 5.273437500000000000e-01 3.906250000000000000e-02
2.832812499999999845e-01 7.773437500000000000e-01 5.906250000000000389e-02
2.357812499999999978e-01 5.898437500000000000e-01 4.406250000000000444e-02
4.257812500000000000e-01 8.398437500000000000e-01 6.406250000000000833e-02
3.307812500000000266e-01 7.148437500000000000e-01 5.406249999999999944e-02
1.407812499999999967e-01 9.648437500000000000e-01 3.406250000000000250e-02
1.348437499999999845e-01 5.664062500000000000e-01 6.718750000000001110e-02
3.248437499999999867e-01 8.164062500000000000e-01 4.718750000000000722e-02
4.198437500000000155e-01 6.914062500000000000e-01 3.718749999999999833e-02
2.298437500000000133e-01 9.414062500000000000e-01 5.718750000000000222e-02
2.773437500000000000e-01 6.289062500000000000e-01 4.218750000000000278e-02
4.673437500000000022e-01 8.789062500000000000e-01 6.218750000000000666e-02
3.723437499999999734e-01 5.039062500000000000e-01 5.218750000000000472e-02
