# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--omega_b baryons--bacco_M_c baryons--bacco_M1_z0_cen baryons--bacco_beta baryons--bacco_eta baryons--bacco_theta_inn
3.517480468749999978e-01 7.902832031250000000e-01 6.169921875000000666e-02 1.072363281250000000e+01 9.583984375000000000e+00 -3.882324218750000666e-01 -1.977050781250000444e-01 -1.092773437500000000e+00
4.467480468750000266e-01 6.652832031250000000e-01 5.169921875000000472e-02 1.522363281250000000e+01 1.058398437500000000e+01 3.676757812499986677e-02 2.729492187499993339e-02 -5.927734375000000000e-01
2.567480468749999689e-01 9.152832031250000000e-01 3.169921875000000083e-02 1.222363281250000000e+01 1.258398437500000000e+01 -8.132324218750000000e-01 -4.227050781249999667e-01 -1.592773437500000000e+00
3.042480468750000111e-01 7.277832031250000000e-01 6.669921875000001110e-02 1.447363281250000000e+01 1.008398437500000000e+01 -6.007324218750000888e-01 -5.352050781249999556e-01 -1.342773437500000000e+00
4.942480468750000133e-01 9.777832031250000000e-01 4.669921875000000722e-02 1.147363281250000000e+01 1.208398437500000000e+01 2.492675781250000000e-01 -8.520507812500000000e-02 -3.427734375000000000e-01
3.992480468749999845e-01 6.027832031250000000e-01 3.669921874999999833e-02 1.597363281250000000e+01 1.108398437500000000e+01 -1.757324218750000444e-01 1.397949218749999778e-01 -1.842773437500000000e+00
2.092480468749999822e-01 8.527832031250000000e-01 5.669921875000000222e-02 1.297363281250000000e+01 9.083984375000000000e+00 6.742675781250000444e-01 -3.102050781249999778e-01 -8.427734375000000000e-01
1.854980468749999889e-01 6.340332031250000000e-01 3.419921874999999611e-02 1.109863281250000000e+01 9.833984375000000000e+00 5.680175781249998668e-01 -5.914550781249999778e-01 -1.967773437500000000e+00
3.754980468749999911e-01 8.840332031250000000e-01 5.419921875000000000e-02 1.409863281250000000e+01 1.183398437500000000e+01 -2.819824218750000000e-01 -1.414550781250000222e-01 -9.677734375000000000e-01
4.704980468750000200e-01 5.090332031250000000e-01 6.419921875000000888e-02 1.259863281250000000e+01 1.283398437500000000e+01 1.430175781250000444e-01 8.354492187499995559e-02 -1.467773437500000000e+00
2.804980468750000178e-01 7.590332031250000000e-01 4.419921875000000500e-02 1.559863281250000000e+01 1.083398437500000000e+01 -7.069824218750000444e-01 -3.664550781250000000e-01 -4.677734375000000000e-01
2.329980468750000033e-01 5.715332031250000000e-01 5.919921875000000444e-02 1.034863281250000000e+01 1.233398437500000000e+01 -9.194824218749999556e-01 -4.789550781249999889e-01 -7.177734375000000000e-01
4.229980468749999778e-01 8.215332031250000000e-01 3.919921875000000056e-02 1.334863281250000000e+01 1.033398437500000000e+01 -6.948242187499997780e-02 -2.895507812499997780e-02 -1.717773437500000000e+00
3.279980468750000044e-01 6.965332031250000000e-01 4.919921875000000250e-02 1.184863281250000000e+01 9.333984375000000000e+00 -4.944824218750000222e-01 1.960449218750000000e-01 -2.177734375000000000e-01
1.379980468750000022e-01 9.465332031250000000e-01 6.919921875000001332e-02 1.484863281250000000e+01 1.133398437500000000e+01 3.555175781249999556e-01 -2.539550781250000111e-01 -1.217773437500000000e+00
1.320605468749999900e-01 5.793457031250000000e-01 3.232421875000000139e-02 1.231738281250000000e+01 1.039648437500000000e+01 -7.866699218749999556e-01 -1.489257812500000000e-02 -9.990234375000000000e-01
3.220605468749999645e-01 8.293457031250000000e-01 5.232421874999999833e-02 1.531738281250000000e+01 1.239648437500000000e+01 6.333007812499991118e-02 -4.648925781249999556e-01 -1.999023437500000000e+00
4.170605468749999933e-01 7.043457031250000000e-01 6.232421875000000722e-02 1.081738281250000000e+01 1.139648437500000000e+01 -3.616699218750000222e-01 -6.898925781249999334e-01 -4.990234375000000000e-01
2.270605468749999911e-01 9.543457031250000000e-01 4.232421875000000333e-02 1.381738281250000000e+01 9.396484375000000000e+00 4.883300781249999556e-01 -2.398925781249999778e-01 -1.499023437500000000e+00
2.745605468749999778e-01 6.418457031250000000e-01 5.732421875000000278e-02 1.156738281250000000e+01 1.189648437500000000e+01 2.758300781250000444e-01 9.760742187499993339e-02 -1.749023437500000000e+00
4.645605468749999800e-01 8.918457031250000000e-01 3.732421874999999889e-02 1.456738281250000000e+01 9.896484375000000000e+00 -5.741699218750000444e-01 -3.523925781249999667e-01 -7.490234375000000000e-01
3.695605468750000067e-01 5.168457031250000000e-01 4.732421875000000083e-02 1.006738281250000000e+01 1.089648437500000000e+01 -1.491699218750000000e-01 -5.773925781250000000e-01 -1.249023437500000000e+00
1.795605468750000044e-01 7.668457031250000000e-01 6.732421874999999778e-02 1.306738281250000000e+01 1.289648437500000000e+01 -9.991699218749999778e-01 -1.273925781250000444e-01 -2.490234375000000000e-01
2.033105468749999978e-01 7.355957031250000000e-01 4.482421875000000555e-02 1.494238281250000000e+01 1.214648437500000000e+01 -8.929199218750000222e-01 4.135742187500002220e-02 -1.124023437500000000e+00
3.933105468750000000e-01 9.855957031250000000e-01 6.482421874999999556e-02 1.194238281250000000e+01 1.014648437500000000e+01 -4.291992187500004441e-02 -4.086425781249999889e-01 -1.240234375000000000e-01
4.883105468749999734e-01 6.105957031250000000e-01 5.482421875000000056e-02 1.344238281250000000e+01 9.146484375000000000e+00 -4.679199218749999778e-01 -6.336425781249999112e-01 -1.624023437500000000e+00
2.983105468750000266e-01 8.605957031250000000e-01 3.482421874999999667e-02 1.044238281250000000e+01 1.114648437500000000e+01 3.820800781250000000e-01 -1.836425781249999556e-01 -6.240234375000000000e-01
2.508105468749999845e-01 5.480957031250000000e-01 6.982421875000000000e-02 1.569238281250000000e+01 9.646484375000000000e+00 5.945800781249999112e-01 1.538574218749999556e-01 -3.740234375000000000e-01
4.408105468749999867e-01 7.980957031250000000e-01 4.982421875000000305e-02 1.269238281250000000e+01 1.164648437500000000e+01 -2.554199218750000666e-01 -2.961425781250000000e-01 -1.374023437500000000e+00
3.458105468750000133e-01 6.730957031250000000e-01 3.982421875000000111e-02 1.419238281250000000e+01 1.264648437500000000e+01 1.695800781249998668e-01 -5.211425781249999778e-01 -8.740234375000000000e-01
1.558105468750000111e-01 9.230957031250000000e-01 5.982421875000000500e-02 1.119238281250000000e+01 1.064648437500000000e+01 -6.804199218750000000e-01 -7.114257812500002220e-02 -1.874023437500000000e+00
1.439355468749999867e-01 6.574707031250000000e-01 6.357421875000000833e-02 1.025488281250000000e+01 9.271484375000000000e+00 -2.022949218749999778e-01 -4.367675781250000000e-01 -1.311523437500000000e+00
