# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--omega_b baryons--bacco_M_c baryons--bacco_M1_z0_cen baryons--bacco_beta baryons--bacco_eta baryons--bacco_theta_inn
3.099999999999999978e-01 7.500000000000000000e-01 5.000000000000000278e-02 1.300000000000000000e+01 1.100000000000000000e+01 -1.500000000000000222e-01 -2.500000000000000000e-01 -1.000000000000000000e+00
4.050000000000000266e-01 6.250000000000000000e-01 6.000000000000000472e-02 1.150000000000000000e+01 1.200000000000000000e+01 -5.749999999999999556e-01 -2.500000000000002220e-02 -1.500000000000000000e+00
2.149999999999999967e-01 8.750000000000000000e-01 4.000000000000000083e-02 1.450000000000000000e+01 1.000000000000000000e+01 2.749999999999999112e-01 -4.749999999999999778e-01 -5.000000000000000000e-01
2.625000000000000111e-01 6.875000000000000000e-01 5.500000000000000722e-02 1.075000000000000000e+01 1.250000000000000000e+01 4.875000000000000444e-01 -5.874999999999999112e-01 -7.500000000000000000e-01
4.525000000000000133e-01 9.375000000000000000e-01 3.500000000000000333e-02 1.375000000000000000e+01 1.050000000000000000e+01 -3.625000000000000444e-01 -1.374999999999999556e-01 -1.750000000000000000e+00
3.574999999999999845e-01 5.625000000000000000e-01 4.499999999999999833e-02 1.225000000000000000e+01 9.500000000000000000e+00 6.250000000000000000e-02 8.749999999999991118e-02 -2.500000000000000000e-01
1.674999999999999822e-01 8.125000000000000000e-01 6.500000000000000222e-02 1.525000000000000000e+01 1.150000000000000000e+01 -7.874999999999999778e-01 -3.624999999999999889e-01 -1.250000000000000000e+00
1.912500000000000033e-01 6.562500000000000000e-01 4.250000000000000305e-02 1.412500000000000000e+01 1.125000000000000000e+01 -6.812500000000000222e-01 -6.437499999999999334e-01 -1.250000000000000000e-01
3.812499999999999778e-01 9.062500000000000000e-01 6.250000000000000000e-02 1.112500000000000000e+01 9.250000000000000000e+00 1.687499999999999556e-01 -1.937499999999999778e-01 -1.125000000000000000e+00
4.762500000000000067e-01 5.312500000000000000e-01 5.250000000000000500e-02 1.562500000000000000e+01 1.025000000000000000e+01 -2.562499999999999778e-01 3.125000000000000000e-02 -6.250000000000000000e-01
2.862500000000000044e-01 7.812500000000000000e-01 3.250000000000000111e-02 1.262500000000000000e+01 1.225000000000000000e+01 5.937500000000000000e-01 -4.187499999999999556e-01 -1.625000000000000000e+00
2.387499999999999900e-01 5.937500000000000000e-01 6.750000000000000444e-02 1.337500000000000000e+01 1.075000000000000000e+01 3.812499999999998668e-01 -5.312500000000000000e-01 -1.375000000000000000e+00
4.287500000000000200e-01 8.437500000000000000e-01 4.750000000000000056e-02 1.037500000000000000e+01 1.275000000000000000e+01 -4.687500000000000000e-01 -8.125000000000004441e-02 -3.750000000000000000e-01
3.337499999999999911e-01 7.187500000000000000e-01 3.749999999999999861e-02 1.487500000000000000e+01 1.175000000000000000e+01 -4.375000000000006661e-02 1.437499999999999334e-01 -1.875000000000000000e+00
1.437499999999999889e-01 9.687500000000000000e-01 5.750000000000000250e-02 1.187500000000000000e+01 9.750000000000000000e+00 -8.937500000000000444e-01 -3.062500000000000222e-01 -8.750000000000000000e-01
1.556250000000000133e-01 7.343750000000000000e-01 6.375000000000000111e-02 1.243750000000000000e+01 1.012500000000000000e+01 -4.156250000000000222e-01 -2.218749999999999889e-01 -3.125000000000000000e-01
3.456249999999999600e-01 9.843750000000000000e-01 4.374999999999999722e-02 1.543750000000000000e+01 1.212500000000000000e+01 4.343749999999999556e-01 -6.718750000000000000e-01 -1.312500000000000000e+00
4.406249999999999889e-01 6.093750000000000000e-01 3.375000000000000222e-02 1.093750000000000000e+01 1.112500000000000000e+01 -8.406249999999999556e-01 -4.468749999999999667e-01 -8.125000000000000000e-01
2.506249999999999867e-01 8.593750000000000000e-01 5.375000000000000611e-02 1.393750000000000000e+01 9.125000000000000000e+00 9.374999999999911182e-03 3.124999999999933387e-03 -1.812500000000000000e+00
2.981249999999999734e-01 5.468750000000000000e-01 4.875000000000000167e-02 1.168750000000000000e+01 1.162500000000000000e+01 2.218750000000000444e-01 -1.093750000000000000e-01 -1.062500000000000000e+00
4.881249999999999756e-01 7.968750000000000000e-01 6.875000000000000555e-02 1.468750000000000000e+01 9.625000000000000000e+00 -6.281250000000000444e-01 -5.593749999999999556e-01 -6.250000000000000000e-02
3.931250000000000022e-01 6.718750000000000000e-01 5.875000000000000361e-02 1.018750000000000000e+01 1.062500000000000000e+01 6.468749999999998668e-01 -3.343749999999999778e-01 -1.562500000000000000e+00
2.031250000000000000e-01 9.218750000000000000e-01 3.874999999999999972e-02 1.318750000000000000e+01 1.262500000000000000e+01 -2.031250000000000000e-01 1.156249999999999778e-01 -5.625000000000000000e-01
1.793750000000000067e-01 5.781250000000000000e-01 5.125000000000000389e-02 1.506250000000000000e+01 1.237500000000000000e+01 -3.093750000000000666e-01 -1.656250000000000222e-01 -1.687500000000000000e+00
3.693750000000000089e-01 8.281250000000000000e-01 3.125000000000000000e-02 1.206250000000000000e+01 1.037500000000000000e+01 5.406249999999999112e-01 -6.156249999999999778e-01 -6.875000000000000000e-01
4.643749999999999822e-01 7.031250000000000000e-01 4.125000000000000194e-02 1.356250000000000000e+01 9.375000000000000000e+00 -7.343750000000000000e-01 -3.906250000000000000e-01 -1.187500000000000000e+00
2.743750000000000355e-01 9.531250000000000000e-01 6.125000000000000583e-02 1.056250000000000000e+01 1.137500000000000000e+01 1.156249999999998668e-01 5.937499999999995559e-02 -1.875000000000000000e-01
2.268749999999999933e-01 6.406250000000000000e-01 3.624999999999999750e-02 1.581250000000000000e+01 9.875000000000000000e+00 -9.687500000000004441e-02 -5.312499999999997780e-02 -9.375000000000000000e-01
4.168749999999999956e-01 8.906250000000000000e-01 5.625000000000000833e-02 1.281250000000000000e+01 1.187500000000000000e+01 -9.468750000000000222e-01 -5.031250000000000444e-01 -1.937500000000000000e+00
3.218750000000000222e-01 5.156250000000000000e-01 6.625000000000000333e-02 1.431250000000000000e+01 1.287500000000000000e+01 3.281250000000000000e-01 -2.781250000000000111e-01 -4.375000000000000000e-01
1.318749999999999922e-01 7.656250000000000000e-01 4.624999999999999944e-02 1.131250000000000000e+01 1.087500000000000000e+01 -5.218750000000000888e-01 1.718750000000000000e-01 -1.437500000000000000e+00
1.378125000000000044e-01 6.328125000000000000e-01 5.437500000000000666e-02 1.346875000000000000e+01 1.181250000000000000e+01 8.906250000000004441e-02 -4.609375000000000000e-01 -6.562500000000000000e-01
3.278125000000000067e-01 8.828125000000000000e-01 3.437500000000000278e-02 1.046875000000000000e+01 9.812500000000000000e+00 -7.609375000000000444e-01 -1.093750000000004441e-02 -1.656250000000000000e+00
