om s8 a1 alpha1 sig8 map3-chi2 prior like post weight
4.485670804977417436e-01 7.715066933631896662e-01 -9.767591953277587891e-02 3.332227468490600586e-01 6.309379151848178990e-01 1.646657418079793489e+00 2.871077246298908392e+01 3.266039249377247415e+03 3.294750021840236514e+03 7.149586532999297935e-34
1.719105243682861328e-01 7.769013679027556574e-01 2.253011465072631836e+00 2.434898018836975098e+00 1.026302249859019078e+00 4.546644823228394472e+00 2.946374826381000389e+01 3.266060368725424723e+03 3.295524116989234699e+03 7.287597099165971788e-34
2.439398288726806752e-01 8.003207123279570956e-01 -5.256766080856323242e-01 4.007176160812377930e+00 8.875305817985408297e-01 8.048082323634762503e+00 3.058400921084374957e+01 3.266096198513826494e+03 3.296680207724670254e+03 7.538352554590893107e-34
2.548769235610962025e-01 7.340011286735533824e-01 -2.493904232978820801e+00 4.722716212272644043e+00 7.963282025860251023e-01 8.198321788651881104e-01 3.103751012541445320e+01 3.266351369548114690e+03 3.297388879673529118e+03 9.710178821448156196e-34
4.069042444229126199e-01 7.975247704982757480e-01 3.977825045585632324e+00 2.238523364067077637e+00 6.847920315946033343e-01 2.358021998027268751e+00 2.981354134816016810e+01 3.266370361263570430e+03 3.296183902611730446e+03 9.876581143861035222e-34
4.644761085510253906e-01 7.250735878944396529e-01 4.115948677062988281e+00 1.885542273521423340e+00 5.827214742568901373e-01 2.195339145660923030e+00 3.031003024998346618e+01 3.266410462191296574e+03 3.296720492441279930e+03 1.026014878941973215e-33
4.072676658630370872e-01 8.229774391651153431e-01 3.189856410026550293e+00 1.206858754158020020e+00 7.063315269761830661e-01 3.836001780524994409e+00 2.820866356048262702e+01 3.266838899316398965e+03 3.295047562876881784e+03 1.571639549711769421e-33
3.827893018722534624e-01 8.110918617248534801e-01 2.854810357093811035e+00 4.844713211059570312e+00 7.180435333763965922e-01 4.127769113798851919e+00 3.278806743065522511e+01 3.266882477852546344e+03 3.299670545283201591e+03 1.638363552432854182e-33
3.478388547897338645e-01 7.062931263446807773e-01 2.952451705932617188e+00 -1.988172531127929688e-02 6.559285897862022763e-01 1.901059596852122668e+00 3.083698267121146941e+01 3.267325004474845628e+03 3.298161987146057072e+03 2.545238941116942455e-33
4.531181573867798518e-01 7.389122223854064364e-01 1.308990716934204102e+00 -3.044741153717041016e+00 6.012398321149746705e-01 1.683180318875091785e+00 3.148437125508609924e+01 3.267715688974815293e+03 3.299200060229901283e+03 3.754326964704093076e-33
1.376371622085571511e-01 7.178560912609099898e-01 3.331165313720703125e+00 4.374643564224243164e+00 1.059815244926974431e+00 1.006696173050799503e+00 2.984200981763030214e+01 3.267759636904976560e+03 3.297601646722606802e+03 3.915162995701772956e-33
2.044254302978515681e-01 7.067784512042998291e-01 3.059902191162109375e+00 4.022178649902343750e+00 8.562024515521891033e-01 5.696747240673029067e-01 3.270111568641665656e+01 3.268336431307992825e+03 3.301037546994409695e+03 6.956325330967813106e-33
4.170374155044556108e-01 7.304556703567504083e-01 4.442437887191772461e+00 2.303603291511535645e+00 6.195366197470772995e-01 2.073948344357061657e+00 3.123885206572517959e+01 3.268495176792697293e+03 3.299734028858422334e+03 8.136798922752754667e-33
1.934492826461792214e-01 7.048167657852172363e-01 -7.740497589111328125e-01 -2.267450094223022461e-01 8.777145380007069786e-01 6.793152713885290961e-01 2.875695005051367303e+01 3.268533023511151896e+03 3.297289973561665647e+03 8.433767335016899319e-33
3.809488773345947044e-01 8.008231604099272927e-01 2.581043243408203125e+00 4.880726337432861328e+00 7.106633243625010143e-01 2.722729900331684938e+00 2.970123214328104311e+01 3.268784304521075683e+03 3.298485536664356914e+03 1.082138834804882467e-32
1.538851022720336970e-01 8.297335183620452304e-01 1.750528812408447266e+00 4.097539782524108887e+00 1.158513164198821110e+00 2.374776552389452533e+01 2.254230128571379055e+01 3.268810602822580222e+03 3.291352904108293842e+03 1.108755025070570295e-32
3.638606786727905940e-01 7.324707615375518621e-01 -1.502241492271423340e+00 2.297109365463256836e+00 6.650945025772121433e-01 1.063722335504579952e+00 3.110430519506506997e+01 3.269050329400721694e+03 3.300154634595786774e+03 1.406303126311403640e-32
3.839138031005859819e-01 8.322487795352935258e-01 2.523826956748962402e+00 4.316160678863525391e+00 7.356935201527666779e-01 7.247245904171643716e+00 3.054369790235404380e+01 3.269267220385107066e+03 3.299810918287460936e+03 1.743431590271269056e-32
4.947114944458007590e-01 7.983468019962310924e-01 8.084088563919067383e-01 4.841545224189758301e+00 6.216933425548214487e-01 1.716745869695386340e+00 3.118470586951969281e+01 3.269406923942825415e+03 3.300591629812345218e+03 2.000823622564383090e-32
4.225817441940308283e-01 7.243910205364226806e-01 -3.991097211837768555e-01 5.732101202011108398e-01 6.103491160225447132e-01 1.589951979943995619e+00 3.264600058040068831e+01 3.269585711450329654e+03 3.302231712030730250e+03 2.387737857469029010e-32
4.676349163055419922e-01 7.141592276096343506e-01 -3.562688827514648438e-01 4.801135659217834473e+00 5.720081466083292154e-01 2.415453343434224909e+00 2.584286711175370854e+01 3.269746741482790640e+03 3.295589608594544188e+03 2.799319766236445564e-32
4.528282642364501731e-01 7.835005009174346169e-01 -1.865750551223754883e-01 4.481887817382812500e-01 6.377245596753777779e-01 1.230404722320128874e+00 3.142776472242201535e+01 3.269772505091644689e+03 3.301200269814066814e+03 2.866638405197036797e-32
